2,RT @ChanseyDaRapper: Make my way right to the trash can with these. RT @DwyaneWade: New Season. New Shoes. #MakeYourOwnWay #WayOfWade http&#8230;
1,@StunningVisual yes hoe. You ALWAYS had the camera!
1,"RT @yepitstrey: I Be Like
1,Dudes @edwards_cait is calling bitches out left and right today #mybabyisallgrownup &#128514;&#128514;&#128514;&#128079;&#128079;&#128079;
1,&#8220;@souljaboy: @kmichelle ur pussy smell like dumpster juice &#128169;&#8221; wow &#128529;
2,RT @ThinkingOfJacob: So I took a 1000 pictures with him and he ate all the brownies I made but he's the new homie @macdemy http://t.co/cZeO&#8230;
1,Broner would still knock half u niccas out
1,"one deep in my phantom ghost
1,RT @PRIVALEDGE: Undercover hoes
1,"I'm dracula bitch
1,balling like I'm stunna bitch
1,The club don't never get old to some of y'all hoes though.
1,@thickumms_x3 very wrong lmao this bitch literally tried to swallow someone in this movie
1,@Thomas71096 Yass bitch Yass &#128134;&#128134;&#128134;
1,@__Dutch bitch stop hating on such an immaculate suit.
1,@sbsylvester @kieffer_jason @hunterbuch66 bitch am speaking fucking English u fucking pecker wood
1,I'm not the type to fight no bitch over a nigga im the type to say fucc that &amp; take his Bitch &#9995;&#128514;&#128527;
1,When a fat bitch want you and a skinny bitch can't cook nothin for you &#128514;&#128514;&#128514; these hoes ain't hungry &#128514;&#128514;
2,With the birds i share this lonely view..
0,@NOT_UR_BRO @niccol3_xo lmao nigga shoulda said I would be balless bc dat cold bitch wont stop blowin me#swaagg
2,RT @HoskinsTy96: @Vontey_isa_boss &#128514;&#128514;&#128514; ghetto ass mofos
1,My bitch ass like an allergic reaction she service my faction
1,You can buy a bitch erything in the world I bet she still find something to complain about
1,&#8220;@miilkkk: On a scale of 1-10 this bitch is literally a 6 http://t.co/A3rMyfNUS4&#8221;hahaha
1,why are people acting like they didn't know hoe allen was going to the cavs 6 months ago?
1,"Yo bitch all over me
1,RT @duhhvenuhh: violet needs service to get texts from hoes @violetannt http://t.co/K3bzbNyW5h
1,"@MobileSuitKwamz it is
1,Carl try eat the pussy but that big ass nose be fucking shit up
1,Ball is life? No bitch bench is life &#128075;
1,One hoe be fine as fuck and the other one be ugly than a Bitch
1,Lmfaooo&#8220;@AdrienBroner: Two bad bitches giving me head at the same dam time...... #oldPICS LOL http://t.co/Y4dXfH8nLv&#8221;
1,When hoes think I got sucker nigga written across my forehead...
1,In class tearing up like a bitch
1,Is that the remix fam? &#8220;@Iam_webster: These hoes aint lawyers &#128553;&#127908; lol on god thats my fav Chris Brown song&#8221;
2,RT @rightwingertoo: Uh oh: California solar plant fries thousands of birds in mid-flight - Hot Air http://t.co/8ZQnLR5fH5
2,WTF I'mma do about my legs Charlie Murphy...
1,&#8220;@coffincreepxx: @WhatAreOllies niggah you friendzoned&#8221; daaaaaaaam.. &#128532;
1,Payback is a bitch
0,@kyleefagnola call him a cock blocking faggot
1,"Where the bad bitches at? And by ""Bad Bitches""
2,RT @PzFeed: Diplomatic trolling: Russian embassy mocks NATO's satellite pictures http://t.co/xklXbYxZbG
1,"A bitch will be quick to get mad if they have to write and essay
1,Niggas get pussy in the friend zone
1,add me on snapchat bitches @ erinblair
2,Stay warm &#10052;&#65039;&#127744; #beanies #sweaterweather #booty4ever http://t.co/zPTCkqybAM
1,"""niggas bitches bitch ass niggas dike ass hoes black ass and bright ass hoes fag tags and scally wags"""
1,@X_XPDOTJDOT she remembers the dick lol and wants it again. I recommend you shoot a bitch if she show up. She might snap
2,"might walk to Dunkin donuts
1,RT @_theDarius: &#8220;@JetsAndASwisher: @_theDarius boy I was clean in them bitches.&#8221;you loved them damn sandals &#128514;
1,"First thing she wit ya
1,"RT @babyjaypops: ""@BreadTruckkBri: Why everybody sayin I don't listen &#128557;&#128514;&#128557;""u don't bitch u gone learn one day"
1,Guys now and days act like they don't care because pussy is easy but that's not the only thing that matters &#128079;&#128079;&#128079;
1,@hannahtherapper @yunglust so when a certain season comes around it's time to be a hoe
2,I can't play flappy bird. It makes me angry.
2,&#9733; BEST ASIAN MASSAGE ON THE Brooklyn Park slope --TOP RATED SPA &#9733;718-622-0221 - 24 http://t.co/saWpjDtIGN
1,"&#8220;@BasedChasen: Grandmas always b asking you ""Do you have a girlfriend???"" No....I got hoes tf you mean&#8221; real shit."
1,"' See I gotta get this money ma palms itchin 
1,RT @TaeCocky: I have 0 hoes
1,Rule number two don't trust nobody especially a bitch with a hookers body
2,Drinking folie a deux wine and playing fall out bird hahaha
0,"RT @Fit4LifeMike: @Whitecholo23 @chanelisabeth true i need to sleep to make them Gainz bruh!! So all the hoes stay Mirin ;p 
1,Yall bitches should be girlfriends for Halloween since yall been sidechiccs all year &#128514;&#128557;&#128564;
1,Damn bitch gotta bootay
1,RT @Doyoudream__: Cant spell above and beyond without hoe
0,"#faggots are MERELY a #scientific indicator that SOMETHING IS WRONG&gt; Do not celebrate as ""unique indiviuals"" for they are #cancer&gt;"
1,"""@CauseWereGuys: Going back to school sucks more dick than the hoes who attend it."""
1,RT @Lizeth0714: NC's weather is seriously fucken retarded. How is it gonna be 40 something today and almost 80 Saturday
1,RT @FREECEV: bitch get off twitter and text me back I love u
1,RT @Tylar____: Man this hoe Heaven stay taking all day
0,faggots http://t.co/DMKbGhai1z
1,RT @GeeZzzus: Don't no woman want a man that acts like a bitch
1,RT @WhoApollo: WCW goes out to all the women with their shit together because these pretty bitches get way too much credit for being cute w&#8230;
1,"@1D_NIPPLES_ bitch you fucking told me to sit in that seat and yo dumbass come again saying ""why you sitting there"" bitch #vote5sos"
1,@jaimescudi_ fucking bitch
1,RT @ohhdatsbrucie: I can't be worried bout no bitch cause that bitch could be somewhere sucking dick
2,Homemade Soup is very good with vegetables on the side with crackers http://t.co/LiRwGwkdzE
1,@Cesar_K_Garcia text me niggah!
2,"RT @BrandonTierney: Crooked number followed by shut down frame
1,@OVOmar23 thanks for the invite tho bitch
1,These ratchet hoes are something else this school smells like a fucking zoo
2,anybody remember that movie Thumbelina? I didn't noticed how flamin' the bird was until now
1,"RT @TrueTorontoGirl: I am woman
1,@davidam_23 yes so you could leave fag
2,"Chaber Books: BRAGADAYJAH 24 http://t.co/bTMLYNNKZp: Nimrod the Cushite
1,RT @MaxDeLaCruz8: Happy birthday bitch @Whitecholo23 http://t.co/DmeqQFL8X1
2,I confess. I'm autistic or something. I thought #Aerosmith #DreamOn was #LedZeppelin until like yesterday....... #retarded
2,we dem birds.
2,WALK OFF HR! @Yankees
0,RT @_CollegeHumor_: i fully support same-sex marriage but i'll never stop calling my friends faggots
2,Ok so not all the shows on Cartoon Network are complete trash. Stevm Universe is awwwwwesomeeeeee
1,"Man fuck these bitch ass niggas
0,@stevoburns561 @ImSwaveyNShit @FreddieGibbs Soft shit? Are you handicapped or retarded?
1,"I tell u this tho
1,just got done biking with my dyke
1,Goes ape shit on my ass like nigggga tf you doin&#128545; i hust saved yo life so i pushed her ass into the the wall then she calmed down again&#128553;&#128529;
1,RT @LiViBADD88: niggas talk more than bitches these days... let that sink in!
1,"""On top of that
1,I'm dat nigga that these hoes just can't stand... &#127926; B.G
1,RT @chvrchs: my rapper name would be nigger
2,@xtruthseekerx_ blaxican
1,RT @IamRicoLove: These hoes turn into contortionist just so u can see their ass &amp; their smile in the same picture. Smh! It's hard work thir&#8230;
1,Taylor Swift looks like the kinda bitch you would bring home and only get a dry handjob from
1,Im a westside niggah so you know im rockin wit Game
2,That night cap nonsense is for the birds.!
1,"""@PRETTyBOSs_BRAt: We don't love these hoes &#128080;&#128581;"""
1,"@AdamBaldwin Really?? Bro
1,"Talk alot of shit
1,"RT @KillAllSimps: I remember I was having phone sex with a white bitch and she said her pussy tasted like salt and vinegar chips
1,"RT @angiecuh: Man
1,"RT @truudayyb: Where'd you get the beauty scar tough guy
1,Stop whacking off in the shower queer boy! @Ilovebamf
0,"@SlothNG i can guarantee a few things: you're white. you've never been anywhere NEAR a real ghetto. you
2,Man im glad im around to see the redskins go to the playoffs considering it only happens once in a lifetime #RedskinsBlow
1,Bitch fuk wat a hater gotta say .......brickk ent ya bitch http://t.co/HuQVaNuWXH
1,the #genesis of my tna watching is so bad I can't even mock-live tweet it
1,How you rap but can't getcho bitch to RT ya music? Put the Mic down bro.
1,If you don't fuck with @ChrisWebby your either A) slackin B) a turd burgular C) a pussy face. or D) all of the above #WhichIsIt ?
2,"Moral to the story: If you like the Yanks
1,"RT @Brendaaaa05: I'm in love with mary jane and codine
1,&#8220;@jjusmaxx: Thot bitches wanna be wined &amp; dined like a wife but don't know how to earn it &#128564;&#8221;
2,When will Joe stop telling PBO how to do his job? You couldn't even keep a job in #teabagger Florida. #morningjoe
1,RT @EWErickson: To recap: Dem Governor candidate in SC calls the GOP candidate a whore. TX-Dem Gov. candidate mocks the GOP candidate&#8217;s di&#8230;
0,@AnimeKing420 fight me 1 on 1 ur choice of game faggot see what happens
1,"RT @TheDouch3: Bitches tweeting ""relationship goals"" w/no man
2,Alex Smith wears red and yellow now so quit being psycho ex boyfriends and get over him. He's in the past
1,I just don't get why none of you people talk back to me..i guess you follow me for the #s in hopes I follow back but shit. talk to a cracker
2,RT @TEL1967: Darn trash man he beat me to the good stuff again. http://t.co/vdDJQ4l0mg
2,"RT @TooFab: Finally! Warner Bros. making superhero films starring a woman
1,Damn bitch thnx http://t.co/TwDKCKKTaz
1,"""Fuck 5/0 I make my own rules. Suck my dragon balls bitch call me goku"""
0,&#8220;@waymoflydenu Why yall think its ok to be faggots?&#8221; and want us to be cool with them
1,"RT @HilariousBubble: &#8220;what are you twelve&#8221;
1,RT @DriveMy_Lexis: &#8220;@h_candace00: Idk but I think niggas that like getting head are gay &#128514;&#128514;&#128514;&#8221; bitch what http://t.co/sqt1TPnELM
1,My manager is retarded bruh always asking siri some spellings. &#128514;&#128514;&#128514; ..this nigga is dum af doe
1,"""Stop being a pussy
1,RT @nick_sodano: Dis bitch jus blew my high
1,RT @unanswerdverses: did that bitch ever get out of ludacris's way?
1,Dats y I don't argue wit Dese bitches lol
